StationId,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
DL001,2018-11-11,232.36,415.28,1.72,79.86,43.87,37.4,1.49,23.48,46.28,6.14,17.67,0.28,,
DL001,2018-11-12,238.43,348.91,3.25,78.95,44.63,36.04,1.53,14.38,45.31,6.64,13.58,0.3,404,Severe
DL001,2018-11-13,284.83,427.4,19.98,112.54,76.15,41.25,1.43,21.33,30.4,8.8,43.51,0.94,406,Severe
DL001,2018-11-14,150.41,214.16,6.35,96.17,56.3,36.02,0.99,12.74,41.87,5.64,28.3,0.51,372,Very Poor
DL001,2018-11-15,106.11,154.36,7.36,77.52,47.21,30.45,0.7,12.46,27.93,4.2,33.48,0.59,280,Poor
DL001,2018-11-16,146.23,211.34,2.01,60.29,33.65,28.52,0.71,11.64,46.12,2.61,29.13,0.12,319,Very Poor
DL001,2018-11-17,166.78,271.76,9.92,80.35,50.84,29.92,0.98,14,33.51,3.84,29.2,0.38,322,Very Poor
DL001,2018-11-18,218.54,346.77,23.88,99.55,72.53,34.97,1.33,19.79,44.81,5.56,30.3,0.69,358,Very Poor
DL001,2018-11-19,226.92,355.95,2.1,77.91,43.2,37.13,1.02,21.25,52.6,4.49,14.88,0.15,380,Very Poor
DL001,2018-11-20,,343.06,5.54,88.63,51.62,38.13,1.23,21.54,41.55,4.82,37.09,0.24,289,Poor
DL001,2018-11-21,,341.64,8.6,89.14,54.41,33.79,0.86,16.33,33.36,4.05,46.67,0.26,320,Very Poor
DL001,2018-11-22,,322.6,32.47,90.9,74.74,29.05,0.93,27.2,38.39,4.52,42.07,0.52,264,Poor
DL001,2018-11-23,,326.01,41.06,74.83,73.32,30.62,0.89,19.57,37.96,4.12,83.79,0.65,309,Very Poor
DL001,2018-11-24,86.52,206.06,2.71,57.95,33.01,25.62,0.59,18.24,39.43,2.33,30.76,0.09,192,Moderate
DL001,2018-11-25,149.96,286.75,23.18,70.8,56.56,28.21,1,20.71,33.97,3.84,27.17,0.31,285,Poor
DL001,2018-11-26,182.33,353.69,59.33,78.23,89.98,30.99,1.39,30.86,32.7,5.4,37.63,0.65,336,Very Poor
DL001,2018-11-27,257.98,451.85,65.68,91,101.91,36.02,2.18,20.45,29,9.94,96.74,2.41,399,Very Poor
DL001,2018-11-28,230.46,372.59,18.9,92.46,64.62,39.83,1.6,17.92,20.35,10.07,61.27,2.51,387,Very Poor
DL001,2018-11-29,231.73,382.21,47.3,93.14,88.08,38.39,1.59,17.74,24.88,7.41,121.9,4.75,390,Very Poor
DL001,2018-11-30,205.27,369.52,25.03,89.45,68,33.45,1.26,22.29,21.5,5.74,88.54,2.19,379,Very Poor
DL001,2018-12-01,153.38,293.42,45.03,89.3,84.19,28.41,1.24,24.68,22.42,4.77,50.05,2.07,339,Very Poor
DL001,2018-12-02,179.6,341.4,90.5,84.61,118.78,26.46,1.75,24.2,25.69,6.98,89.51,5.28,342,Very Poor
DL001,2018-12-03,206.33,408.02,107.27,97.41,139.24,29.91,1.9,26.46,22.14,6.53,61.1,4.15,352,Very Poor
DL001,2018-12-04,245.3,473.36,153.62,114.4,186.08,33.28,2.51,24.45,17.23,7.81,170.95,6.7,424,Severe
DL001,2018-12-05,206.46,380.36,99.65,102.06,135.81,32.26,1.97,22.97,24.48,5.79,58.23,3.6,393,Very Poor
DL001,2018-12-06,228.9,386.96,133.84,96.67,160.48,30.71,2.33,20.69,23.95,9.55,94.68,6.73,383,Very Poor
DL001,2018-12-07,191.86,354.11,51.83,89.74,89.96,31.12,1.38,18.61,21.09,8.4,63.7,3.9,361,Very Poor
DL001,2018-12-08,221.01,354.38,38.04,82.11,74.68,32.91,1.3,24.31,26.95,8.4,63.7,3.9,369,Very Poor
DL001,2018-12-09,216.12,336.65,64.08,80.47,94.94,29.71,1.53,34.31,27.16,8.4,63.7,3.9,374,Very Poor
DL001,2018-12-10,259.24,383.93,8.31,88.15,53.53,33.51,1.6,21.26,25.87,8.4,63.7,3.9,383,Very Poor
DL001,2018-12-11,252.92,365.9,8.01,79.75,48.92,34.62,1.37,19.72,23.65,8.4,63.7,3.9,405,Severe
DL001,2018-12-12,210.33,290.5,7.68,73.71,45.47,33.01,1.21,21.13,20.55,8.4,63.7,3.9,403,Severe
DL001,2018-12-13,78,115.42,5.47,61.26,37.06,24.49,0.57,18.57,18.86,4.86,40.12,2.04,249,Poor
DL001,2018-12-14,98.81,158.25,9.09,68.82,44.01,26.74,0.59,18.66,18.43,1.1,18.5,0,199,Moderate
DL001,2018-12-15,122.35,189.48,3.44,75.64,43.04,29.5,0.63,22.14,22.4,1.1,18.5,0,276,Poor
DL001,2018-12-16,158.71,234.88,12.01,88.82,57.03,33.8,0.85,24.59,23.3,1.1,18.5,0,316,Very Poor
DL001,2018-12-17,194.64,315.25,49.7,103.13,95.39,34.74,1.29,22.4,21.53,1.1,18.5,0,346,Very Poor
DL001,2018-12-18,210.9,328.62,22.17,102.5,72.63,37.57,1.08,27.25,27.54,1.72,56.2,0.3,365,Very Poor
DL001,2018-12-19,255.17,380.98,32.73,106.54,83.34,38.93,1.44,28.56,22.89,5.64,64.2,4.52,387,Very Poor
DL001,2018-12-20,322.01,464.68,100.45,103.84,137,39.19,2.05,30.89,24.87,8.43,109.62,21.92,445,Severe
DL001,2018-12-21,263.78,379.29,30.25,112.07,84.27,41.49,1.35,24.61,26.52,5.38,62.52,7.76,412,Severe
DL001,2018-12-22,323.31,429.93,24.87,90.08,68.16,41.08,1.52,25.9,30.36,5.25,33.34,4.73,444,Severe
DL001,2018-12-23,334.3,419.71,14.47,82.4,55.59,39.43,1.93,19.42,31.42,6.85,24.23,6.56,458,Severe
DL001,2018-12-24,323.21,473.4,67.91,103.51,110.46,39.84,1.93,25.14,20.43,6.26,49.79,6.38,470,Severe
DL001,2018-12-25,225.67,319.67,7.96,100.38,59.82,39.81,1.14,19.63,20.71,3.16,32.24,1.3,404,Severe
DL001,2018-12-26,259.79,355.73,24.23,85.29,65.14,37.71,1.42,23.22,23.83,4.19,28.59,2.43,401,Severe
DL001,2018-12-27,281.79,384.12,30.34,89.3,72.21,40.01,1.63,25.1,28.23,6.1,57.61,10.05,426,Severe
DL001,2018-12-28,258.83,364.96,8.48,101.6,60.94,47.57,1.1,23.12,23.04,2.36,17.85,0.64,402,Severe
DL001,2018-12-29,284.56,399.62,34.93,96.16,79.55,42.94,1.45,23.12,20.2,0.9,2.7,0,416,Severe
DL001,2018-12-30,366.15,527.44,82.55,97.56,119.24,43.38,2.27,35.08,25.61,0.9,2.7,0,484,Severe
DL001,2018-12-31,290.83,446.31,66.44,102.37,108.62,42.86,1.67,25.76,19.17,1.44,51.36,0.89,469,Severe
DL002,2018-01-01,494.04,570.11,82.16,94.27,0,118.12,3.17,22.29,27.36,10.93,22.97,,679,Severe
DL002,2018-01-02,362.08,538.43,65.95,84.21,0,79.54,3.73,23.44,33.24,8.85,23.07,,527,Severe
DL002,2018-01-03,286.29,481.54,70.69,84.41,0,72.41,1.51,20.51,28.08,7.32,14.89,,486,Severe
DL002,2018-01-04,359.08,574.92,66.27,94.56,0,74.1,1.37,21.98,36.36,8.61,21.79,,580,Severe
DL002,2018-01-05,301.75,429.54,44.06,79.98,0,61.19,1.69,21.45,28.37,7.28,20.58,,458,Severe
DL002,2018-01-06,323.46,587.65,94.06,125.84,0,94.01,3.54,22.52,23.15,10.72,23.41,,525,Severe
DL002,2018-01-07,253.58,471.04,89.62,102.58,0,88.15,2.75,21.48,15.42,6.82,12.34,,549,Severe
DL002,2018-01-08,160.75,474.1,91.68,125.7,0,82.91,3.4,23.06,15.25,6.57,12.78,,431,Severe
DL002,2018-01-09,370.35,623.19,90.95,141.15,0,113.51,3.29,23.75,15.99,10.65,21.87,,527,Severe
DL002,2018-01-10,260.33,492.13,89.79,110.58,0,79.1,2.87,23.24,18.56,5.93,11.73,,548,Severe
DL002,2018-01-11,198.71,405.83,82.33,105.61,0,86.28,4.29,23.15,19.34,6.12,11,,383,Very Poor
DL002,2018-01-12,216.54,451.04,84.6,124.38,0,93.86,2.55,29.49,21.18,6.81,13.89,,408,Severe
DL002,2018-01-13,395.38,470.64,73.74,138.32,0,119.81,4.24,25.5,20.02,12.76,31.98,,489,Severe
DL002,2018-01-14,303.08,577.45,77.36,123.97,0,86.72,2.49,24.89,22.37,8.9,17.27,,576,Severe
DL002,2018-01-15,254.42,545.62,83.54,103.96,0,79.14,1.94,21.3,21.7,6,12.04,,576,Severe
DL002,2018-01-16,154.62,350.38,72.4,109.6,0,65.49,2.15,27.12,25.99,5.58,17.56,,374,Very Poor
DL002,2018-01-17,300.67,434.57,45.26,77.23,63.95,89.09,1.09,18.09,23.74,7.21,28.82,,407,Severe
DL002,2018-01-18,434.43,714.55,64.96,139.48,207.85,106.93,4.03,32.28,24.51,11.2,35.57,,574,Severe
DL002,2018-01-19,411,570.5,86.51,151.27,315.02,149.39,2.19,22.84,22.34,9.53,22.33,,715,Severe
DL002,2018-01-20,243.58,358.42,80.85,112.22,275.49,119.48,1.57,23.12,18.43,4.57,8.18,,444,Severe
DL002,2018-01-21,189.73,391.11,52.55,155.03,338.28,77.98,2.9,33.91,60.77,5.29,21.97,,,
DL002,2018-01-22,266.95,525.16,65.78,125.38,183.69,120.51,2.72,30.11,51.54,7.56,20.37,,514,Severe
DL002,2018-01-23,200.79,335.67,53.4,89.8,158.79,89.41,2.13,24.6,15.14,4.41,16.53,,397,Very Poor
DL002,2018-01-24,159.53,236.53,76.79,73.15,211.65,65.72,2.08,25.89,27.18,3.85,11.37,,336,Very Poor
DL002,2018-01-25,181.1,312.25,99.18,358.62,90.62,28.03,10.06,10.75,,,,,333,Very Poor
DL002,2018-01-26,192.33,290.33,60.05,88.05,120.31,52.98,2.84,16.63,,,,,354,Very Poor
DL002,2018-01-27,216.17,394.54,73.14,127.95,104.21,39.26,3.59,14.98,9.1,,,,359,Very Poor
DL002,2018-01-28,238.08,398.04,77.11,148.78,133.43,49.96,2.92,16.07,8.1,,,,407,Severe
DL002,2018-01-29,247.04,448.17,84.1,270.73,113.62,33.52,3.81,12.67,3.7,,,,431,Severe
DL002,2018-01-30,138.17,303.92,70.03,152.96,119.2,45.52,3.64,18.37,,,,,342,Very Poor
DL002,2018-01-31,143,308.88,69.71,143.22,105.38,41.08,5.08,15.38,,,,,314,Very Poor
DL002,2018-02-01,192.96,451.58,111.98,252.45,115.01,38.2,4.21,13.26,43.68,,,,380,Very Poor
DL002,2018-02-02,132.71,334.96,85.23,184.85,131.2,47.45,2.32,16.38,4.75,,,,347,Very Poor
DL002,2018-02-03,102.33,253.58,80.39,167.4,111.59,40.14,4.11,17.53,6.55,,,,279,Poor
DL002,2018-02-04,132.17,278.45,87.58,171.9,100.54,36.99,6.16,15.41,1.2,12.74,9.07,,297,Poor
DL002,2018-02-05,177,421.25,118.36,258.27,117.29,34.97,2.27,13.77,22.45,7.4,5.87,,382,Very Poor
DL002,2018-02-06,134,335.75,92.82,188.65,131.02,41.4,1.89,17.76,23.45,6.59,6.83,,340,Very Poor
DL002,2018-02-07,134.62,285.58,94.19,194.69,104.95,29.23,1.94,14.15,39.39,6.57,5.09,,301,Very Poor
